GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
1400000US06037137502,"Census Tract 1375.02, Los Angeles County, California",166389,2019
1400000US06037137504,"Census Tract 1375.04, Los Angeles County, California",222390,2019
1400000US06037138000,"Census Tract 1380, Los Angeles County, California",149992,2019
1400000US06037139001,"Census Tract 1390.01, Los Angeles County, California",101255,2019
1400000US06037139200,"Census Tract 1392, Los Angeles County, California",97445,2019
1400000US06037139301,"Census Tract 1393.01, Los Angeles County, California",148457,2019
1400000US06037139302,"Census Tract 1393.02, Los Angeles County, California",61962,2019
1400000US06037139303,"Census Tract 1393.03, Los Angeles County, California",104906,2019
1400000US06037139401,"Census Tract 1394.01, Los Angeles County, California",79467,2019
1400000US06037139402,"Census Tract 1394.02, Los Angeles County, California",172155,2019
1400000US06037139502,"Census Tract 1395.02, Los Angeles County, California",125897,2019
1400000US06037139503,"Census Tract 1395.03, Los Angeles County, California",75047,2019
1400000US06037139504,"Census Tract 1395.04, Los Angeles County, California",81170,2019
1400000US06037139600,"Census Tract 1396, Los Angeles County, California",137799,2019
1400000US06037139701,"Census Tract 1397.01, Los Angeles County, California",198736,2019
1400000US06037139702,"Census Tract 1397.02, Los Angeles County, California",260564,2019
1400000US06037139703,"Census Tract 1397.03, Los Angeles County, California",169373,2019
1400000US06037139801,"Census Tract 1398.01, Los Angeles County, California",189247,2019
1400000US06037139802,"Census Tract 1398.02, Los Angeles County, California",216088,2019
1400000US06037141101,"Census Tract 1411.01, Los Angeles County, California",108324,2019
1400000US06037141102,"Census Tract 1411.02, Los Angeles County, California",134641,2019
1400000US06037141201,"Census Tract 1412.01, Los Angeles County, California",106881,2019
1400000US06037141202,"Census Tract 1412.02, Los Angeles County, California",142066,2019
1400000US06037141302,"Census Tract 1413.02, Los Angeles County, California",145643,2019
1400000US06037141303,"Census Tract 1413.03, Los Angeles County, California",114213,2019
1400000US06037141304,"Census Tract 1413.04, Los Angeles County, California",136417,2019
1400000US06037141400,"Census Tract 1414, Los Angeles County, California",164651,2019
1400000US06037141500,"Census Tract 1415, Los Angeles County, California",327300,2019
1400000US06037141600,"Census Tract 1416, Los Angeles County, California",252359,2019
1400000US06037141700,"Census Tract 1417, Los Angeles County, California",340341,2019
1400000US06037143100,"Census Tract 1431, Los Angeles County, California",128981,2019
1400000US06037143200,"Census Tract 1432, Los Angeles County, California",88442,2019
1400000US06037143300,"Census Tract 1433, Los Angeles County, California",120128,2019
1400000US06037143400,"Census Tract 1434, Los Angeles County, California",146126,2019
1400000US06037143500,"Census Tract 1435, Los Angeles County, California",142193,2019
