GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!With earnings!!Mean earnings (dollars),year
1400000US06037139801,"Census Tract 1398.01, Los Angeles County, California",203526,2016
1400000US06037139802,"Census Tract 1398.02, Los Angeles County, California",193365,2016
1400000US06037141101,"Census Tract 1411.01, Los Angeles County, California",111383,2016
1400000US06037141102,"Census Tract 1411.02, Los Angeles County, California",131955,2016
1400000US06037141201,"Census Tract 1412.01, Los Angeles County, California",81478,2016
1400000US06037141202,"Census Tract 1412.02, Los Angeles County, California",122285,2016
1400000US06037141302,"Census Tract 1413.02, Los Angeles County, California",109224,2016
1400000US06037141303,"Census Tract 1413.03, Los Angeles County, California",86646,2016
1400000US06037141304,"Census Tract 1413.04, Los Angeles County, California",119364,2016
1400000US06037141400,"Census Tract 1414, Los Angeles County, California",154470,2016
1400000US06037141500,"Census Tract 1415, Los Angeles County, California",238194,2016
1400000US06037141600,"Census Tract 1416, Los Angeles County, California",237310,2016
1400000US06037141700,"Census Tract 1417, Los Angeles County, California",243004,2016
1400000US06037143100,"Census Tract 1431, Los Angeles County, California",130511,2016
1400000US06037143200,"Census Tract 1432, Los Angeles County, California",89602,2016
1400000US06037143300,"Census Tract 1433, Los Angeles County, California",113427,2016
1400000US06037143400,"Census Tract 1434, Los Angeles County, California",110352,2016
1400000US06037143500,"Census Tract 1435, Los Angeles County, California",110275,2016
1400000US06037143602,"Census Tract 1436.02, Los Angeles County, California",117969,2016
1400000US06037143603,"Census Tract 1436.03, Los Angeles County, California",82252,2016
1400000US06037143604,"Census Tract 1436.04, Los Angeles County, California",72743,2016
1400000US06037143700,"Census Tract 1437, Los Angeles County, California",178393,2016
1400000US06037143800,"Census Tract 1438, Los Angeles County, California",171217,2016
1400000US06037143901,"Census Tract 1439.01, Los Angeles County, California",224740,2016
1400000US06037143902,"Census Tract 1439.02, Los Angeles County, California",203830,2016
1400000US06037181000,"Census Tract 1810, Los Angeles County, California",133032,2016
1400000US06037181300,"Census Tract 1813, Los Angeles County, California",95196,2016
1400000US06037181400,"Census Tract 1814, Los Angeles County, California",76337,2016
1400000US06037181500,"Census Tract 1815, Los Angeles County, California",101629,2016
1400000US06037181600,"Census Tract 1816, Los Angeles County, California",86026,2016
1400000US06037183101,"Census Tract 1831.01, Los Angeles County, California",73663,2016
1400000US06037183103,"Census Tract 1831.03, Los Angeles County, California",59339,2016
1400000US06037183104,"Census Tract 1831.04, Los Angeles County, California",75208,2016
1400000US06037183220,"Census Tract 1832.20, Los Angeles County, California",68246,2016
1400000US06037183221,"Census Tract 1832.21, Los Angeles County, California",72715,2016
1400000US06037183222,"Census Tract 1832.22, Los Angeles County, California",106401,2016
1400000US06037183300,"Census Tract 1833, Los Angeles County, California",72259,2016
1400000US06037183401,"Census Tract 1834.01, Los Angeles County, California",80538,2016
1400000US06037183402,"Census Tract 1834.02, Los Angeles County, California",77454,2016
1400000US06037183510,"Census Tract 1835.10, Los Angeles County, California",80485,2016
1400000US06037183520,"Census Tract 1835.20, Los Angeles County, California",60598,2016
1400000US06037183610,"Census Tract 1836.10, Los Angeles County, California",55520,2016
